date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:01:08	85514/85514	---M--	200	added ('OK')	image/svg+xml	etag:%2214e0a-5264ebd53e046%22	http://www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-bold-webfont.svg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-bold-webfont.svg	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
13:01:14	85988/85988	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2214fe4-5264ebd52e644%22	http://www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-bold-webfont.eot	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-bold-webfont.eot	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
13:01:14	100928/100928	---M--	200	added ('OK')	application/font-sfnt	etag:%2218a40-5264ebd546ce7%22	http://www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-light-webfont.ttf	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-light-webfont.ttf	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
13:01:17	85776/85776	---M--	200	added ('OK')	application/font-sfnt	etag:%2214f10-5264ebd531524%22	http://www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-bold-webfont.ttf	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-bold-webfont.ttf	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
13:01:17	84980/84980	---M--	200	added ('OK')	image/svg+xml	etag:%2214bf4-5264ebd539226%22	http://www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-regular-webfont.svg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-regular-webfont.svg	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
13:01:19	1985/1985	---M--	200	added ('OK')	image/jpeg	etag:%227c1-5264ebd44dc65%22	http://www.markusbrunner.de/fileadmin/templates/default/images/bg_header_basic.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/images/bg_header_basic.jpg	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
13:01:21	42084/42084	---M--	200	added ('OK')	application/font-woff	etag:%22a464-5264ebd539226%22	http://www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-regular-webfont.woff	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-regular-webfont.woff	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
13:01:21	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Sep%202018%2011:01:21%20GMT	http://www.markusbrunner.de/6/fileadmin/templates/default/css/-ms-transform.htc	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/6/fileadmin/templates/default/css/-ms-transform.htc	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
13:01:22	6990/6990	---M--	200	added ('OK')	image/png	etag:%221b4e-5264ebd473dcb%22	http://www.markusbrunner.de/fileadmin/templates/default/images/bg_nav_bottom.png	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/images/bg_nav_bottom.png	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
13:01:22	96/96	---M--	200	added ('OK')	image/gif	etag:%2260-5264ebd47ca6c%22	http://www.markusbrunner.de/fileadmin/templates/default/images/bg_nav_bottom_shadow.gif	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/images/bg_nav_bottom_shadow.gif	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
